,種類,題目,A,B,C,D,答案
0,ウルトラQ,ウルトラQの放送開始年は？,1963年,1965年,1966年,1967年,C
1,ウルトラQ,ウルトラQの第1話のタイトルは？,ゴメスを倒せ！,ガラモンの逆襲,悪魔ッ子,1/8計画,A
2,ウルトラQ,ウルトラQの主人公、万城目淳（まんじょうめ あつし）の職業は？,新聞記者,カメラマン,科学者,パイロット,B
3,ウルトラQ,ウルトラQの第2話に登場する怪獣の名前は？,ペギラ,ガラモン,ゴメス,カネゴン,A
4,ウルトラQ,ウルトラQのエピソード「ガラダマ」に登場するガラモンは、どんな形をしている？,恐竜型,昆虫型,ロボット型,巨大植物型,C
5,ウルトラQ,ウルトラQの主題歌を作曲したのは誰？,伊福部昭,宮内國郎,早坂文雄,佐藤勝,B
6,ウルトラQ,ウルトラQの第3話「宇宙からの贈りもの」で、宇宙からやってきた生物は何と呼ばれている？,バルンガ,ペギラ,バルタン星人,ケムール人,A
7,ウルトラQ,ウルトラQの監督を務めた人物の一人は？,円谷英二,本多猪四郎,成田亨,樋口真嗣,A
8,ウルトラQ,ウルトラQの登場人物・一ノ谷博士の専門分野は？,地質学,天文学,生物学,ロボット工学,C
9,ウルトラQ,ウルトラQの第12話「鳥を見た」で、空を飛ぶことができる少年の名前は？,一郎,ジョー,ダイ,マサル,B
10,ウルトラQ,ウルトラQのエピソード「カネゴンの繭」に登場するカネゴンは、何に変わった少年か？,泥棒,金銭に執着する少年,いじめっ子,物忘れが激しい少年,B
11,ウルトラQ,ウルトラQの第18話「虹の卵」で、卵から生まれる怪獣の名前は？,ガラモン,ペギラ,ゴーガ,リトラ,C
12,ウルトラQ,ウルトラQのエピソード「悪魔ッ子」で、奇妙な力を持つ子供の名前は？,ケン,タケル,サブロウ,コウ,C
13,ウルトラQ,ウルトラQの第24話「ゴーガの像」で、呪われた像が所有する能力は？,石化能力,時間を止める能力,瞬間移動能力,他人を操る能力,A
14,ウルトラQ,ウルトラQのエピソード「1/8計画」で、人間を小さくする原因となったものは？,放射線,化学薬品,宇宙線,未知のウイルス,C
15,ウルトラQ,ウルトラQの登場怪獣、カネゴンの頭は何の形をしている？,ねじ,小銭入れ,鍵,電球,B
